Timestamp,Title ,Publication_year,"DOI 
Starting with 10. Leave empty if no DOI available.","Study_first_author 
",Exclusion_reason,Comment for exclusion reason,Study_type,Comment for study type,Disease_genera_1,Disease_genera,Disease_type,Time_collection,Taxa_count,Study_location,Study_location_reef_area,Sites_sampled,Environmental_parameters,Comment for other parameters recorded ,Sample_types,Comment on types of samples ,Other_methods,Comment on other methods utilised,Biological_replicates,Technical_replicates,Sections_per_fragment,Are the methods for histological analysis stated? ,Citation for methods,Fixative,Enrobed,Decalcification,Embedded,Slice_size,Stain,Comment ,Imaging,Focus,Comment on focus of histological analysis,Data_type,Data_type_2,"If quantitative or semi-quantitative, what/how were things measured?",Quantiative,"If semi-quantitative, how many levels of scoring were applied? (e.g. 5)",Examined,"If the paper provides definitions (i.e. visual descriptions) of the above terms, specify here). Seperate definitions by ;. E.g. Necrosis = xxxxx; ",Comment (specifics associated with each of the above). ,What was the main finding of this paper?
2/2/2023 11:43,A survey of cellular reactions to environmental stress and disease in Caribbean scleractinian corals,1984,,Peters ,NA - study included for data extraction,,Field,Survey completed in field and samples taken for histology.,"Acropora, White band disease;Agaricia, White band disease;Colpophyllia, White band disease; Diploria, White band disease;Favia, White band disease; Montastrea, White band disease;Porites, White band disease; Siderastrea, White band disease","Acropora, White band disease; 2;Agaricia, White band disease; 1;Colpophyllia, White band disease; 1; Diploria, White band disease; 2;Favia, White band disease; 1;Monstastrea, White band disease; 2;Porites, White band disease; 1;Siderastrea, White band disease; 2.",White Band,July 1980 and August 1981,12,Saint Croix; Puerto Rico,Western Atlantic,Tague Bay; El Negro-Bank reefs; La Parguera; Tallaboa Bay,"Depth,Other (specify below)",Underwater visibility level,"Non-diseased (healthy),Diseased (lesion)",Small whole colonies or portions of colonies (both apparently healthy and diseased) were removed from the reef.,Ecological surveys,Coral species composition and condition of coral was surveyed.,"Unclear, various per taxa",1,,Yes,,Helly's fixative,NA,Formic acid/formaldehyde,Paraplast,6,"Hemotoxylin and eosin, Alcium blue, Aniline blue, Pentachrome, Periodic Acid Schiff (PAS), Fuelgen-picroaniline blue, Brown & Brenn's, Hirano-Zimmerman, Grocott's methenamine silver",,"Light microscope, Transmission electron microscope","Disease-causing agent,Tissue condition,Reproduction","Paper looked at reproduction, coral-algal interactions, bacteria-associated diseases, cellular reactions and other microparasites.","Qualitative, quantitative","Qualitative, Quantitative (proportion of samples)",,NA,,"Necrosis,Cellular integrity of host,Gonad development (oocytes and spermaries),Associated organisms (bacteria),Associated organisms (ciliates)",,Used to describe the condition of tissue.,"Although colonies of several species showed signs of ""white band disease"" at five locations, bacterial colonies composed of Gram-negative rods were present only in acroporid tissues from the relatively pristine St. Croix site. Quantitatively counted gonad prescence (%), ovoid basophilic bodies presence, necrosis, tissue changes and microorganisms."
2/2/2023 12:15,A comparative baseline of coral disease in three regions along the Saudi Arabian coast of the central Red Sea,2021,10.1371/ journal.pone.0246854,Aeby,NA - study included for data extraction,,Field,Survey done in field and samples taken for histology.,"Acropora, White Syndrome; Astreopora, White Syndrome;Echinopora, White Syndrome;Goniastrea, White Syndrome; Lobophyllia, White Syndrome;Millepora, White Syndrome;Montipora, White Syndrome; Pocillopora, White Syndrome; Porites, White Syndrome; Psammocora, White Syndrome;Stylophora, White Syndrome","Acropora, White Syndrome; N/A;Astreopora, White Syndrome; N/A;Echinopora, White Syndrome; N/A; Goniastrea, White Syndrome; N/A;Lobophyllia, White Syndrome; N/A;Millepora, White Syndrome; N/A;Montipora, White Syndrome; N/A;Pocillopora, White Syndrome; N/A; Porites, White Syndrome; N/A;Psammocora, White Syndrome; N/A;Stylophora, White Syndrome; N/A",WS,"October 20 to November 9, 2015",11,Central Red Sea,Western Indian,6 sites in Al Lith; 10 sites in Thuwal; 6 sites in Yanbu,Depth,,"Non-diseased from a diseased,Diseased (lesion)","One sample taken from the lesion, one sample taken from the 'healthy' part of the colony. 43 diseased colonies were sampled. PAIRED samples.",Ecological surveys,"Species composition, substrate characteristics, bleaching, coral lesion type and size.","13,6,5,3,3,3,2,1,1,1,1,1,1,1,1",1,,Yes,,Paraformaldehyde,NA,Formic acid/formaldehyde,Paraffin,,Hemotoxylin and eosin,,Light microscope,"Disease-causing agent,Tissue condition",Focus was host response and associated organisms.,"Qualitative, Quantitative","Qualitative, Quantitative (proportion of samples)","They listed how many samples showed necrosis, how many showed depleted zooxanthellae, etc.",NA,,"Tissue fragmentation,Wound repair,Necrosis,Swelling and/or lysis of host cells,Endosymbiont abundance,Associated organisms (bacteria),Associated organisms (fungi),Associated organisms (sponge),Associated organisms (other specify below),Hyperplasia,Associated organisms (cyanobacteria),Associated organisms (algae), Inflammation",,"Host response (tissue condition) was categorised into reversible or non-reversible changes. 
Reversible cellular changes included atrophy, depletion of zooxanthellae from gastrodermis, wound repair, hyperplasia of basal body wall, and inflammation.
Non-reversible changes comprised necrosis and fragmentation.
Organisms associated with lesions were classified into fungi, bacteria, cyanobacteria, sponges, or algae.","The three most common diseases in the central Red Sea were Acropora white syndrome found at 59.1% of the survey sites, Porites growth anomalies found at 40.9% of the sites, and Porites white syndrome found at 31.8% of the sites.
Both 'healthy' and lesion tissue was damaged. 61% of normal fragments (no gross lesion) had some sort of microscopic lesion, mainly necrosis, half of which were associated with a microorganism."
2/2/2023 13:03,Acute tissue death (white syndrome) affects the microenvironment of tabular Acropora corals,2010,10.3354/ab00270,Andersen,NA - study included for data extraction,,Field,Coral was collected from Heron Island and then set up in outdoor aquaria for a series of respiration experiments. ,"Acropora, White Syndrome","Acropora, White Syndrome; 3",WS,"May and June, 2006",3,Australia,Indo-West Pacific ,Heron Island,Depth,,"Non-diseased (healthy),Non-diseased from a diseased, Diseased (lesion border)","2 samples were taken from each diseased colony, one on the lesion border and one 2cm from the lesion border. Samples were also taken from 'healthy' areas on the colonies.",Endosymbiont physiology;Host physiology,"Oxygen concentrations were determined to compare respiration rates of White Syndrome affected and non-affected tissue. 
Tissue was airbrushed off of the skeleton and resuspended in PBS. Zooxanthellae density was determined by counting algae in a counting chamber.",4,1,,Yes,,Paraformaldehyde,NA,HCl,Paraffin,6,Masson Trichome,,Light microscope,Tissue condition,"The thickness of the gastroderm, mesoglea and epiderm was measured.",Quantitative,Quantitative,"The thickness of the gastroderm, mesoglea and epiderm was measured on a compound microscope.",Tissue thickness,,NA,,"Thickness of the gastroderm, mesoglea and epiderm was measured.","The mesogloea was significantly thinner on the lesion border, compared to healthy corals. Also, the mesogloea 2 cm away from the lesion was significantly thinner than in healthy coral colony tissues. Meaning the lesion and tissue surrounding the lesion had impacted condition."
2/2/2023 13:27,Annual outbreaks of coral disease coincide with extreme seasonal warming,2020,10.1007/s00338-020-01946-2,Howells,NA - study included for data extraction,,Field,Surveys and collection of samples for histology.,"Acropora, White Syndrome","Acropora, White Syndrome; 1",WS,"June 2014 to December 2016, and August 2015",1,Southern Persian Gulf,Western Indian,Saadiyat Island site 1; Saadiyat Island site 2; Sir Bu Nair Island site 1; Sir Bu Nair Island site 2,Depth,,"Non-diseased (healthy),Non-diseased from a diseased,Diseased (lesion border)",Small coral fragments were collected from diseased and non-diseased colonies. Diseased colonies were sampled at WS lesion border and from non-diseased areas of tissue.,Ecological surveys,"Surveys looked at coral genera composition, substrate types and prevalence of WS disease. ","7 diseased, 3 non-diseased",1,,No (other reference given - specify below),"Work TM, Aeby GS, Lasne G, Tribollet A (2014) Gross and microscopic pathology of hard and soft corals in New Caledonia. J Invertebr Pathol 120:50–58",Paraformaldehyde,NA,Formic acid/formaldehyde,Paraffin,5,"Hemotoxylin and eosin, Grocott’s methenamine silver, Periodic acid Schiffs (PAS)",,Light microscope,Disease-causing agent,Aiming to find any 'agents' associated with WS disease.,Qualitative,Qualitative,,NA,,Associated organisms (fungi),,Found infiltrates of filamentous irregular walled branching structures which provided evidence for fungal invasion in WS lesion margins.,"Colonies of Acropora were the most susceptible to WS disease and were more than twice as likely to experience lesions than any other genera. Across the 3 years of the study, the onset of WS outbreaks occurred early in summer and prevalence increased exponentially with cumulative heat exposure.
Disease can present as a primary sign of thermal stress as well as bleaching."
2/2/2023 15:03,Bacterial Communities Associated with Porites White Patch Syndrome (PWPS) on Three Western Indian Ocean (WIO) Coral Reefs,2013,,Séré,NA - study included for data extraction,,Field,Samples collected for DNA extractions and histology,"Porites, White Patch Syndrome","Porites, Porites White Patch Syndrome; 1",White Patch,,1,Indian Ocean,Western Indian,South Africa; Reunion; Mayotte,No measurements,,"Non-diseased (healthy),Diseased (lesion border)","Diseased tissues (DT) were sampled from the lesion boundary interface with visually healthy tissue (HT), and samples of HT were collected from visually healthy colonies with no signs of disease.",Microbial,Phylogenetic analysis of bacterial communities associated with healthy and PWPS-affected tissues of Porites.,5,1,10,Yes,,Formalin,Agarose,HCl and EDTA,Paraffin,6-Aug,"Hemotoxylin and eosin, Phyloxine B",,Light microscope,"Disease-causing agent,Tissue condition","Diagnosis of tissue fragmentation, necrosis and the presence of invasive organisms.",Qualitative,Qualitative,,NA,,"Necrosis,Cellular integrity of host,Associated organisms (bacteria),Associated organisms (ciliates)",,Descriptions of tissue were provided. Bacterial aggregates were commonly found in diseased samples.,"The diseased tissues showed extensive breakdown and necrosis within the lesion. Bacterial aggregates were commonly found 9/15 diseased samples and only 1/15 healthy samples. Cyanobacteria, ciliata and algae were also observed in the dead tissue."
2/2/2023 15:43,Characterizing lesions in corals from American Samoa,2005,10.1007/s00338-005-0018-0,Work,NA - study included for data extraction,,Field,,"Acropora, Lesion;Diploastrea, Lesion;Echinopora, Lesion;Favia, Lesion;Hydnophora, Lesion;Millepora, Lesion;Montipora,Lesion;Platygyra, Lesion","Acropora, lesions with tissue loss; 2;Diploastrea, lesions with tissue loss; 1;Echinopora, lesions with tissue loss; 1;Favia, lesions with tissue loss; 1;Hydnophora, lesions with tissue loss; 1;Millepora, lesions with tissue loss; 1;Montipora, lesions with tissue loss; 1;Platygyra, lesions with tissue loss; 1",Lesion,,9,American Samoa,Central-Pacific,Tutuila; Ofu; Olosega,No measurements,,"Non-diseased (healthy),Diseased (lesion)","Healthy and diseased colonies were sampled. On diseased colonies, care was taken to collect both normal and abnormal tissue bordering the lesion.",Histology only,,"Total 42 diseased colonies, 8 healthy",NA,,Yes,,Helly's fixative,NA,Cal-ex II (Fisher Scientific),Paraffin,5,"Hemotoxylin and eosin, Grocott's methenamine silver, Taylor's gram stains",,Light microscope,"Disease-causing agent,Tissue condition","Looked at zooxanthellae abundance, necrosis, hyperplasia and skeletal thickening.
Looked at necrosis associated with algae, fungi or ciliates.",Qualitative,Qualitative,,NA,,"Necrosis,Endosymbiont abundance,Associated organisms (ciliates),Associated organisms (fungi),Hyperplasia",,"On microscopy, lesions were classified as depletion of zooxanthellae, uncomplicated necrosis, necrosis associated with algae, fungi, or ciliates, hyperplasia of gas- trovascular canals, or skeletal thickening associated with metazoa.","Diseased samples showed an absence of zooxanthellae in the gastrodermis.
The organisms most often associated with cell necrosis was filamentous algae or fungi."
2/2/2023 16:02,Disease and cell death in white syndrome of Acroporid corals on the Great Barrier Reef,2006,10.1007/s00227-006-0449-3,Ainsworth,NA - study included for data extraction,,Field,Samples were collected for histology.,"Acropora, White Syndrome","Acropora, White Syndrome; 3",WS,2004,3,Australia,Indo-West Pacific ,Heron Island; Wistari Reef,No measurements,,"Non-diseased (healthy),Diseased (lesion)",2 samples groups: diseased and healthy,Histology only,,6,3,,Yes,,Paraformaldehyde,Agarose,EDTA,Paraffin,4,"Hemotoxylin and eosin, Phyloxine B, FISH, ISEL","FISh was used to visualise bacterial communities associated with the disease lesion, Harris’s haematoxylin and eosin (with phyloxine B)  was used for evaluating the extent of mass tissue necrosis.","Light microscope, Transmission electron microscope","Disease-causing agent,Tissue condition",Tissue condition was surveyed and bacterial aggregates were surveyed. ,"Qualitative, Quantitative","Qualitative, Quantitative",,NA,,"Necrosis,Swelling and/or lysis of host cells,Cellular integrity of host,Programmed Cell Death (also called Apoptosis),Associated organisms (bacteria)","Mass tissue necrosis = swelling and lysis of cells, disruption of cell structure","Extent of necrosis was investigated and general tissue and cell structure. All these findings were presented as descriptions. 
Counts of apoptotic vs non-apoptopic cells in epithelial and mesentery tissues were conducted. This provided data in the form of percentages of how many cells showed signs of PCD. ","Bacterial populations were absent in all WS lesions and adjacent coral tissue.
There was no evidence of mass tissue necrosis associated with the syndrome lesion and surrounding tissues. There was evidence for up to 25% of cells showing signs of PCD (apoptosis). 
Diseased samples showed poor cellular structure, with loss of cell-cell contact. "
2/2/2023 16:36,"Disease dynamics and potential mitigation among restored and wild staghorn coral, Acropora cervicornis",2014,10.7717/peerj.541,Miller,NA - study included for data extraction,,"Experimental,Field",Study involves attempting to mitigate disease in restored and wild populations. Histology samples are taken from these field experiments and the surrounding area. ,"Acropora, White Syndrome;Acropora, White Syndrome","Acropora, White Syndrome; 1;Acropora, rapid tissue loss; 1",WS,May to November in 2011 and 2012,2,United States of America,Western Atlantic,Key Largo Dry Rocks reef; French reef; Molasses reef; Pickle reef; Conch reef; Tavernier; Little Conch reef ,"Temperature,Depth",,"Non-diseased (healthy),Diseased (lesion)","tissue samples were collected from apparently healthy colonies (n = 21), diseased colonies observed in the vicinity of the surveys (n = 12), and diseased samples collected from the colonies in the mitigation experiment (n = 11).",Ecological surveys;Treatment experiment,"The underwater surveys involved studies on prevalence of disease, disease incidence and mortality.
The mitigation experiment involved 3 treatments; one used marine epoxy to coat the disease lesion band, another removed healthy tips and reattached them to reef substrate 1m from the parent colony and the third was a control of a cable tie.","21 healthy colonies, 12 diseased colonies near the survery, 11 diseased colonies from in the mitigation experiment.",NA,,Yes,,Z-fix,Agarose,EDTA,Paraplast,5,"Hemotoxylin and eosin, Giemsa",,Light microscope,Tissue condition,"Recorded the relative condition (tissue architecture, cellular integrity, zooxanthellae abundance, pathological changes) at the time of fixation.",Semi-quantitative,Semi-quantitative,"Semi-quantitative data were collected from each subsample based on relative condition (tissue architecture, cellular integrity, zooxanthellae abundance, pathological changes) at the time of fixation (0 = Excellent, 1 = Very Good, 2 = Good, 3 = Fair, 4 = Poor, 5 = Very Poor) and severity or intensity of tissue changes from normal (0 = Within Normal Limits, 1 = Minimal, 2 = Mild, 3 = Moderate, 4 = Marked, 5 = Severe). Mean scores for each sample were obtained.
The developmental stage of gonads was noted, if present.",NA,5,"Tissue fragmentation,Cellular integrity of host,Endosymbiont abundance,Pathological changes",,,"Colonies of Acropora were the most susceptible to WS disease and were more than twice as likely to experience lesions than any other genera. Across the 3 years of the study, the onset of WS outbreaks occurred early in summer and prevalence increased expon"
2/2/2023 16:52,"Ecology, histopathology, and microbial ecology of a white-band disease outbreak in the threatened staghorn coral Acropora cervicornis",2020,10.3354/dao03441,Gignoux-Wolfsohn,NA - study included for data extraction,,Field,,"Acropora, White band disease","Acropora, White band disease; 1",White Band,October 2013 and October 2014 ,1,United States of America,Western Atlantic,Miami Beach,"Temperature,Depth",,"Non-diseased from a diseased,Diseased (lesion border)",Each of the 5 colonies had multiple branches with active disease as well as multiple branches that appeared healthy. Two branch tips that appeared to be healthy and 2 that had tissue loss were taken from each parent colony,Ecological surveys;Microbial,"Underwater surveys looked at prevalence of Acropora cervicornis colonies and general coral condition.
16S sequencing was used to look at the bacteria species present in healthy and diseased samples.",5,1,,Yes,,Z-fix,Agarose,EDTA,Paraplast,5,"Hemotoxylin and eosin, Giemsa",,Light microscope,"Disease-causing agent,Tissue condition,Reproduction",,Semi-quantitative,Semi-quantitative,"Semi-quantitative data were collected about each sample based on condition at the time of fixation (tissue architecture, cellular integrity, Symbiodiniaceae abundance, pathological changes; 0 = excellent,1=verygood,2=good,3=fair,4=poor,5= very poor) and the severity of tissue changes, ranging from normal to severe (0 = within normal limits, 1 = minimal, 2 = mild, 3 = moderate, 4 = marked, 5 = severe). 
Symbiodiniaceae condition and abundance were also scored, as well as 6 parameters of polyp health (both cell and tissue), bacterial aggregates, and RLOs (from the Giemsa-stained sections). 
Presence/absence was noted for the following phenomena: hypertrophied calicodermis foci, necrotic cell spherules, apicomplex- ans, and ciliates. 
When possible, the stage of gonad development was noted.
Mean scores for each sample were calculated.",NA,5,"Tissue fragmentation,Necrosis,Cellular integrity of host,Endosymbiont abundance,Gonad development (oocytes and spermaries),Associated organisms (bacteria),Associated organisms (ciliates),Pathological changes",,"Semi-quantitative data were collected about each sample based on condition at the time of fixation (tissue architecture, cellular integrity, Symbiodiniaceae abundance, pathological changes; 0 = excellent,1=verygood,2=good,3=fair,4=poor,5= very poor) and the severity of tissue changes, ranging from normal to severe (0 = within normal limits, 1 = minimal, 2 = mild, 3 = moderate, 4 = marked, 5 = severe). 
Symbiodiniaceae condition and abundance were also scored, as well as 6 parameters of polyp health (both cell and tissue), bacterial aggregates, and RLOs (from the Giemsa-stained sections). 
Presence/absence was noted for the following phenomena: hypertrophied calicodermis foci, necrotic cell spherules, apicomplex- ans, and ciliates. 
When possible, the stage of gonad development was noted.
Mean scores for each sample were calculated.","The microscopic anatomy of healthy samples appeared normal except for some tissue atrophy and dissociation of mesenterial filaments deep within the branch. 
Structural changes were more pronounced in visibly diseased fragments, with atrophy, necrosis, and lysing of surface and basal body wall and polyp structures at the tissue-loss margin. 
The only bacteria evident microscopically in both diseased and apparently healthy tissues with Giemsa staining was a Rickettsiales-like organism (RLO) occupying mucocytes. "
2/2/2023 17:05,"Emerging coral diseases in Ka ̄ ne‘ohe Bay, O‘ahu, Hawai‘i (USA): two major disease outbreaks of acute Montipora white syndrome",2016,10.3354/dao02996,Aeby,NA - study included for data extraction,,Field,,"Montipora, White Syndrome","Montipora, White Syndrome; 1",WS,Match 2012 and January 2012,1,United States of America,Central-Pacific,Kāne‘ohe Bay,"Temperature,Depth,Other (specify below)",Stream flow and rainfall,"Non-diseased from a diseased,Diseased (lesion)",Lesion and a non-diseased from a diseased sample were taken from a diseased colony.,Ecological surveys;Lesion progression,Underwater survey looked at disease abundance in Monitpora and the rate of tissue loss being seen. PAIRED,15,1,,No (other reference given - specify below),"Work TM, Russell R, Aeby GS (2012) Tissue loss (white syn- drome) in the coral Montipora capitata is a dynamic dis- ease with multiple host responses and potential causes. Proc R Soc Lond B Biol Sci 279:4334−4341",Paraformaldehyde,,,,NA,NA,,,"Disease-causing agent,Tissue condition","TAKEN FROM WORK ET AL 2014 -
On histology, we classified lesions into two broad categories: (i) host response, including wound repair, necrosis, fragmentation or atrophy; and (ii) associated agents, including helminths, IGMS, ciliates, molluscs, cyanobacteria, sponges, fungi and algae.",Qualitative,Qualitative,,NA,,"Tissue fragmentation,Wound repair,Necrosis,Associated organisms (ciliates),Associated organisms (fungi),Associated organisms (helminths),Associated organisms (sponge)",,"The histology section was small and just description. No explanations of a histology method was really given, this information has been pulled from the paper that they referenced.","On microscopy, the predominant lesion, for all but 2 corals, was segmental ablation of surface body wall with epidermal regeneration and occasional necrosis of mesenterial filaments and gastrodermis.
 Microbes (ciliates) were associated with lesions in 2 cases; otherwise, no morphological evidence of infectious agents was seen."
2/2/2023 17:30,Energy depletion and opportunistic microbial colonisation in white syndrome lesions from corals across the Indo‐Pacific,2020,10.1038/s41598-020-76792-x,Smith,NA - study included for data extraction,,Field,Samples collected and used in histology.,"Acropora, White Syndrome","Acropora, White Syndrome; 1",WS,December 2011 and May 2011,1,Australia,Indo-West Pacific ,Montebello Island & Barrow Island; Palmyra Atoll National Wildlife Refuge,No measurements,,"Non-diseased (healthy),Non-diseased from a diseased, Diseased (lesion)","3 types of samples taken; Healthy tissue from healthy colony, Healthy tissue from diseased colony and diseased tissue from diseased colony. ",Host physiology;Microbial,"Host physiology- Total lipid content, lipid class composition, fatty acid composition.
Microbial - 16s rRNA analysis
","4 diseased, 3 healthy, 19 diseased, 21 healthy",1,3,No (other reference given - specify below),"Pollock, F. J., Wada, N., Torda, G., Willis, B. L. & Bourne, D. G. White syndrome-affected corals have a distinct microbiome at disease lesion fronts. Appl. Environ. Microbiol. 83, e02799-e2816 (2017).",Paraformaldehyde,Agarose,EDTA,Paraplast,4,"Hemotoxylin and eosin, Giemsa, Trichome, FISH",Fish was used to assess the distribution of bacteria.,Light microscope,"Disease-causing agent,Tissue condition","Three sections from each sample were examined for signs of tissue response (i.e. necrosis, fragmentation, swelling) and foreign organisms (i.e. helminths, ciliates, fungi, cyanobacteria).",Quantitative,Quantitative (proportion of samples),,NA,,"Tissue fragmentation,Necrosis,Swelling and/or lysis of host cells,Associated organisms (bacteria),Associated organisms (ciliates),Associated organisms (fungi),Associated organisms (helminths)",,"Three sections from each sample were examined for signs of tissue response (i.e. necrosis, fragmentation, swelling) and foreign organisms (i.e. helminths, ciliates, fungi, cyanobacteria). Percentage of samples affected.","Tissues sampled from regions of healthy colonies and healthy tissues from diseased colonies histologically displayed no signs of necrosis, fragmentation or swelling. Helminths and fungi were observed in a small number of healthy tissue samples while ciliates and cyanobacteria were absent in all healthy tissues.
In contrast, tissues from WS lesion fronts displayed signs of necrosis (91% of samples) and fragmentation (74%). In addition, samples from the lesion front also displayed ciliates (17%), fungi (17%), cyanobacteria (13%), and helminths (9%
"
2/3/2023 9:55,Experimental antibiotic treatment identifies potential pathogens of white band disease in the endangered Caribbean coral Acropora cervicornis,2014,10.1098/rspb.2014.0094,Sweet,NA - study included for data extraction,,Experimental (lab),Samples used in aquaria for antibiotic testing.,"Acropora, White Syndrome","Acropora, White Syndrome; 1",WS,NA,1,NA,NA,NA,No measurements,,"Non-diseased (healthy),Diseased (lesion border)",There were 6 treatment groups; 5 required diseased fragments and one required healthy fragements. 6 coral fragments were used in each treatment.,Microbial,"Coral fragments with WBD were set up in aquaria and dosed with antibiotics, there were 4 treatments and 2 controls. Bacteria abundance and genera was identified post experiement. ",6,1,NA,Yes,,Paraformaldehyde,NA,EtOH,LR White resin,,"FISH, Toluidine blue, ISEL",DNA screening using Toluidine blue and location of bacteria using FISH.,"Light microscope, Epifluorescent microscope","Disease-causing agent,Tissue condition",Seemed to be focusing on health of tissue and then any associated bacterial aggregates.,Qualitative,Qualitative,,NA,,"Necrosis,Programmed Cell Death (also called Apoptosis),Associated organisms (bacteria)",,Explained what the tissue looked like/showed signs of apoptosis or necrosis for each antibiotic treatment.,"Two antibiotics, ampicillin and paromomycin, arrested the disease completely. Our interpretation of the experimental treatments is that one or a combination of up to three specific bacterial types, detected consistently in diseased corals but not detectable in
healthy corals, are likely causal agents of WBD. 

There was a significant increase in total bacterial abundance between Non-Diseased and WBD diseased tissues. However, there was no large bacterial mass or evidence of widespread tissue necrosis and/or apoptosis in histological sections."
