"","Name","n"
"1","Abrego",1
"2","Aeby",7
"3","Ainsworth",2
"4","Andersen",1
"5","Barer",1
"6","Borger",1
"7","Bourne",2
"8","Brandt",1
"9","Bythell",2
"10","Caceres-Martinez",1
"11","Caldwell",1
"12","Callahan",1
"13","Colley",1
"14","Conlan",1
"15","Croquer",1
"16","Davy",2
"17","Eaton",1
"18","Enochs",1
"19","Farias",1
"20","Fine",2
"21","Gates",1
"22","Gignoux-Wolfsohn",1
"23","Hoegh-Guldberg",2
"24","Howells",1
"25","Hughen",1
"26","Jordan-Dahlgren",1
"27","Kaufman",1
"28","Kirya",1
"29","Kramarsky-Winter",1
"30","Kuhl",1
"31","Kvennefors",1
"32","Landsberg",2
"33","Le Tissier",1
"34","Lohr",1
"35","Maina",1
"36","McClanahan",1
"37","McLaughlin",1
"38","Meiling",1
"39","Miller",1
"40","Muller",2
"41","Peters",2
"42","Pollock",1
"43","Precht",1
"44","Rameyer",1
"45","Rivera-Ortega",1
"46","Rocha-Olivares",1
"47","Rodriguez-Villalobos",1
"48","Roff",1
"49","Rossin",1
"50","Russel",1
"51","Sassi",2
"52","Schleyer",1
"53","Sere",1
"54","Shore",1
"55","Simon",1
"56","Smith",1
"57","Studivan",1
"58","Sudek",2
"59","Sweet",1
"60","Thome",1
"61","Tortosa",1
"62","Tribollet",1
"63","Ushijima",1
"64","Vaughan",1
"65","Vesterrgaard",1
"66","Voolstra",1
"67","Wada",1
"68","Williams",1
"69","Work",9
